"Id","EducationId","RaceId","GenderId","Income","Children","EmploymentId","PoliticsId","ReligionId","Marriage","GenderPart","RacePart","ReligionPart","AgePart","PoliticsPart","EducationPart","AgeFirstMeet","AgeRomRel","EarnedMore","Work","School","Church","Internet","Vacation","Bar","Gym","PrivParty","OtherPlace","Quality","Duration","Together","AGeId","SameSex","age_difference"
"401561","high school","hispanic","male","67.5","1","retired","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","married","female","white","christian","44","other","high school","40","40","i earned more","no","no","no","no","no","no","no","no","yes","good","16","broke up","56","different sex couple","12"
"406672","less than high school","white","male","8.7","1","retired","republican","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","white","christian","64","other","high school","66","66","i earned more","no","no","no","yes","no","no","no","no","no","excellent","1","broke up","67","different sex couple","3"
"454456","bachelor's degree or higher","white","male","67.5","1","working - as a paid employee","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","male","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","28","democrat","bachelor's degree or higher ","33","33","i earned more","no","no","no","no","no","no","no","no","yes","excellent","12","broke up","45","same-sex couple","17"
"468225","some college","black","female","67.5","3","working - as a paid employee","democrat","baptist","not married","male","black","baptist","35","democrat","high school","19","21","same amount","no","no","no","no","no","no","no","yes","no","good","1","broke up","22","different sex couple","13"
"472431","bachelor's degree or higher","hispanic","male","112.5","4 or more","working - self-employed","republican","christian","not married","female","white","pentecostal","30","republican","bachelor's degree or higher ","33","34","i earned more","yes","no","no","no","no","no","no","no","no","excellent","9","broke up","43","different sex couple","13"
"481445","bachelor's degree or higher","2+ races","female","37.5","2","disabled","democrat","none","not married","female","2+ races","none","34","other","bachelor's degree or higher ","31","32","partner earned more","no","no","no","no","no","no","no","no","yes","excellent","12","broke up","44","same-sex couple","10"
"491772","less than high school","white","male","37.5","1","retired","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","65","democrat","high school","74","75","i earned more","no","no","no","no","no","no","yes","no","no","excellent","2","broke up","77","different sex couple","12"
"506515","bachelor's degree or higher","white","female","55.0","1","working - as a paid employee","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","white","none","38","democrat","bachelor's degree or higher ","41","50","partner earned more","no","no","no","no","no","no","no","yes","no","good","2","broke up","51","same-sex couple","13"
"523401","bachelor's degree or higher","white","male","137.5","4 or more","working - as a paid employee","republican","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","39","democrat","bachelor's degree or higher ","20","20","partner earned more","no","no","no","no","yes","no","no","no","no","very poor","20","broke up","40","different sex couple","1"
"557215","high school","white","female","162.5","4 or more","working - as a paid employee","democrat","christian","not married","male","other","none","26","democrat","some college","19","20","partner earned more","yes","no","no","no","no","no","no","no","no","good","2","broke up","21","different sex couple","5"
"586275","bachelor's degree or higher","white","female","187.5","1","not working","republican","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","male","white","christian","28","democrat","bachelor's degree or higher ","26","26","partner earned more","no","no","no","yes","no","no","no","no","no","good","1","broke up","27","different sex couple","1"
"602406","bachelor's degree or higher","black","female","37.5","1","working - as a paid employee","democrat","baptist","not married","male","black","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","36","democrat","some college","38","40","partner earned more","no","no","no","no","no","yes","no","no","no","excellent","0","broke up","40","different sex couple","4"
"615255","some college","white","female","92.5","2","working - as a paid employee","republican","christian","not married","male","2+ races","christian","29","other","some college","22","22","partner earned more","no","no","no","no","no","no","no","no","yes","good","4","broke up","25","different sex couple","4"
"623493","bachelor's degree or higher","other","female","45.0","3","not working","republican","christian","not married","female","white","none","55","democrat","high school","48","48","partner earned more","no","no","no","yes","no","no","no","no","no","fair","1","broke up","49","same-sex couple","6"
"627533","high school","white","male","187.5","1","working - self-employed","democrat","christian","not married","male","other","christian","37","democrat","some college","53","53","partner earned more","no","no","no","no","no","yes","no","no","no","good","0","broke up","53","same-sex couple","16"
"690195","high school","other","male","137.5","3","working - as a paid employee","republican","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","2+ races","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","25","republican","bachelor's degree or higher ","19","19","partner earned more","no","no","no","no","yes","no","no","no","no","good","1","broke up","19","different sex couple","6"
"709205","some college","white","female","112.5","3","not working","republican","none","not married","male","white","none","28","democrat","some college","20","20","partner earned more","no","yes","no","no","no","no","no","no","no","good","0","broke up","20","different sex couple","8"
"712403","high school","black","male","37.5","1","working - as a paid employee","democrat","christian","not married","female","black","baptist","34","democrat","some college","34","34","i earned more","no","no","no","no","no","no","no","yes","no","poor","6","broke up","40","different sex couple","6"
"740205","less than high school","white","female","45.0","4 or more","not working","democrat","none","not married","male","white","christian","20","other","less than high school","13","14","partner earned more","no","no","no","no","no","no","no","no","yes","fair","6","broke up","20","different sex couple","0"
"767351","bachelor's degree or higher","white","male","112.5","3","working - as a paid employee","democrat","none","married","female","white","christian","38","republican","bachelor's degree or higher ","21","21","partner earned more","yes","no","no","no","yes","yes","no","no","no","good","14","broke up","35","different sex couple","3"
"790595","some college","black","female","11.2","1","disabled","democrat","none","not married","female","other","christian","59","other","less than high school","28","28","partner earned more","yes","no","no","no","no","no","no","no","no","good","31","broke up","59","same-sex couple","0"
"791225","some college","white","female","67.5","3","working - as a paid employee","republican","baptist","not married","male","white","baptist","23","other","some college","15","16","same amount","no","no","no","no","no","no","no","yes","yes","excellent","6","broke up","22","different sex couple","1"
"829216","some college","white","female","17.5","4 or more","working - as a paid employee","republican","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","male","white","christian","23","other","some college","19","19","partner earned more","no","no","no","no","no","no","no","no","yes","excellent","2","broke up","21","different sex couple","2"
"840205","high school","white","female","32.5","4 or more","working - as a paid employee","republican","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","male","white","christian","21","republican","some college","19","19","partner earned more","no","no","no","no","no","no","no","no","yes","excellent","0","broke up","20","different sex couple","1"
"870281","some college","white","female","32.5","3","working - as a paid employee","democrat","baptist","married","male","black","baptist","33","democrat","some college","15","15","partner earned more","no","no","no","no","no","no","no","no","yes","very poor","13","broke up","28","different sex couple","5"
"872215","high school","white","female","92.5","4 or more","not working","republican","christian","not married","male","white","jewish","22","democrat","bachelor's degree or higher ","19","19","partner earned more","no","yes","no","no","no","no","no","no","no","good","2","broke up","21","different sex couple","1"
"873623","high school","black","female","13.7","1","working - as a paid employee","democrat","baptist","not married","male","black","baptist","64","democrat","high school","40","48","same amount","no","no","no","no","no","no","yes","no","no","good","14","broke up","62","different sex couple","2"
"875485","some college","white","male","6.2","1","not working","democrat","christian","not married","female","white","none","52","other","bachelor's degree or higher ","45","45","partner earned more","no","no","no","no","no","no","no","no","yes","fair","4","broke up","48","different sex couple","4"
"892453","bachelor's degree or higher","white","male","45.0","3","working - as a paid employee","republican","baptist","not married","female","white","baptist","35","democrat","less than high school","40","40","i earned more","yes","no","no","no","no","no","no","no","no","very poor","5","broke up","45","different sex couple","10"
"928523","high school","white","female","6.2","2","not working","republican","pentecostal","not married","male","white","baptist","49","other","high school","51","51","partner earned more","no","no","no","yes","no","no","no","no","no","excellent","0","broke up","52","different sex couple","3"
"963573","some college","2+ races","female","67.5","2","working - as a paid employee","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","42","republican","bachelor's degree or higher ","49","49","i earned more","no","no","no","no","no","no","no","no","yes","poor","8","broke up","57","same-sex couple","15"
"1058195","high school","white","male","137.5","4 or more","not working","republican","christian","not married","female","white","christian","23","democrat","bachelor's degree or higher ","17","19","partner earned more","no","no","no","no","no","no","no","no","yes","good","0","broke up","19","different sex couple","4"
"1064496","some college","white","male","17.5","3","disabled","democrat","christian","not married","female","white","christian","49","democrat","high school","47","48","i earned more","no","no","no","no","no","no","no","no","yes","good","2","broke up","49","different sex couple","0"
"1106521","high school","white","female","11.2","3","not working","democrat","baptist","married","male","white","baptist","55","democrat","less than high school","15","15","partner earned more","no","no","no","no","no","no","no","no","yes","poor","37","broke up","52","different sex couple","3"
"1162493","bachelor's degree or higher","white","male","55.0","1","working - as a paid employee","democrat","none","not married","female","white","christian","52","democrat","bachelor's degree or higher ","44","45","partner earned more","yes","no","no","no","no","no","no","no","no","good","4","broke up","49","different sex couple","3"
"1206512","high school","white","male","37.5","3","working - as a paid employee","democrat","christian","not married","female","white","christian","54","democrat","some college","24","24","partner earned more","no","no","no","no","no","yes","no","no","no","good","27","broke up","51","different sex couple","3"
"1225585","bachelor's degree or higher","white","male","112.5","1","working - self-employed","democrat","none","not married","male","white","none","52","democrat","bachelor's degree or higher ","58","58","same amount","no","no","no","no","no","no","no","no","yes","excellent","0","broke up","58","same-sex couple","6"
"1266516","bachelor's degree or higher","white","female","55.0","2","working - as a paid employee","democrat","jewish","not married","female","white","christian","52","other","some college","34","34","i earned more","no","no","no","no","no","no","yes","no","no","good","17","broke up","51","same-sex couple","1"
"1279296","bachelor's degree or higher","white","male","32.5","2","not working","democrat","none","not married","female","white","none","25","democrat","bachelor's degree or higher ","25","26","i earned more","no","yes","no","no","no","no","no","no","no","fair","4","broke up","29","different sex couple","4"
"1285703","bachelor's degree or higher","white","male","67.5","2","retired","democrat","none","not married","male","white","none","64","other","bachelor's degree or higher ","33","33","partner earned more","no","no","no","no","no","yes","no","no","no","good","37","broke up","70","same-sex couple","6"
"1364533","high school","white","female","45.0","1","working - as a paid employee","republican","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","male","white","none","52","republican","bachelor's degree or higher ","50","50","partner earned more","no","no","no","no","no","yes","no","no","no","good","2","broke up","53","different sex couple","1"
"1370453","high school","white","female","17.5","4 or more","not working","democrat","baptist","not married","male","white","baptist","42","democrat","high school","34","34","partner earned more","no","no","no","no","no","yes","no","no","no","fair","11","broke up","45","different sex couple","3"
"1373663","less than high school","white","male","6.2","1","disabled","democrat","none","not married","female","black","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","46","other","high school","64","64","i earned more","no","no","no","no","no","no","no","no","yes","fair","2","broke up","66","different sex couple","20"
"1382546","high school","white","female","37.5","2","working - as a paid employee","republican","baptist","married","male","white","baptist","58","republican","some college","40","45","i earned more","yes","no","no","no","no","no","no","no","no","good","9","broke up","54","different sex couple","4"
"1393286","high school","white","male","37.5","4 or more","disabled","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","26","other","bachelor's degree or higher ","13","13","partner earned more","no","yes","no","no","no","no","no","no","no","excellent","15","broke up","28","different sex couple","2"
"1396626","some college","black","male","45.0","2","retired","democrat","baptist","not married","female","black","baptist","34","democrat","high school","54","55","i earned more","no","no","no","no","no","no","no","no","yes","good","7","broke up","62","different sex couple","28"
"1439225","some college","white","female","67.5","3","working - as a paid employee","republican","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","male","white","christian","20","democrat","some college","19","20","partner earned more","no","no","no","no","no","no","yes","no","no","excellent","2","broke up","22","different sex couple","2"
"1463856","some college","white","male","80.0","1","retired","republican","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","78","republican","high school","85","85","same amount","no","no","no","no","no","no","no","no","yes","excellent","0","broke up","85","different sex couple","7"
"1479275","some college","white","male","45.0","3","working - as a paid employee","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","22","democrat","some college","27","27","i earned more","no","no","no","no","no","no","no","no","yes","good","0","broke up","27","different sex couple","5"
"1495643","bachelor's degree or higher","white","female","11.2","1","disabled","democrat","christian","not married","male","white","christian","44","democrat","high school","50","50","same amount","no","no","no","no","no","yes","no","no","no","good","14","broke up","64","different sex couple","20"
"1529205","high school","white","male","45.0","4 or more","working - as a paid employee","republican","pentecostal","not married","female","other","christian","19","other","some college","17","18","same amount","no","yes","no","no","no","no","no","no","no","excellent","2","broke up","20","different sex couple","1"
"1553205","some college","white","female","67.5","4 or more","working - as a paid employee","democrat","christian","not married","male","white","none","23","other","some college","20","20","i earned more","yes","no","no","no","no","no","no","no","no","good","0","broke up","20","different sex couple","3"
"1571463","high school","hispanic","male","55.0","1","working - as a paid employee","republican","none","not married","female","white","christian","45","other","less than high school","45","45","i earned more","no","no","no","no","no","yes","no","no","no","fair","2","broke up","46","different sex couple","1"
"1602401","bachelor's degree or higher","white","male","80.0","4 or more","working - as a paid employee","republican","christian","married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","39","democrat","bachelor's degree or higher ","23","23","partner earned more","no","no","no","no","no","yes","no","no","no","very poor","17","broke up","40","different sex couple","1"
"1631443","some college","white","female","92.5","1","working - as a paid employee","republican","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","male","white","christian","37","republican","bachelor's degree or higher ","42","42","i earned more","no","no","no","no","no","no","no","no","yes","fair","2","broke up","44","different sex couple","7"
"1637395","some college","white","female","11.2","1","disabled","democrat","jewish","not married","male","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","41","democrat","bachelor's degree or higher ","18","32","partner earned more","no","yes","no","no","no","no","no","no","yes","excellent","7","broke up","39","different sex couple","2"
"1653653","bachelor's degree or higher","white","male","55.0","1","working - as a paid employee","republican","none","not married","male","white","none","52","republican","bachelor's degree or higher ","60","60","i earned more","no","no","no","no","no","no","no","no","yes","fair","5","broke up","65","same-sex couple","13"
"1689375","some college","white","female","27.5","3","working - self-employed","democrat","christian","not married","female","white","none","30","other","some college","35","36","i earned more","no","no","no","no","no","no","no","no","yes","fair","2","broke up","37","same-sex couple","7"
"1697445","some college","hispanic","male","22.5","1","working - self-employed","republican","christian","not married","female","white","none","35","republican","bachelor's degree or higher ","42","42","refused","no","no","no","no","no","no","no","yes","no","good","2","broke up","44","different sex couple","9"
"1704403","some college","white","male","8.7","3","not working","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","30","other","less than high school","37","39","partner earned more","no","no","no","no","no","no","no","no","yes","good","0","broke up","40","different sex couple","10"
"1802445","bachelor's degree or higher","white","female","112.5","1","working - as a paid employee","democrat","jewish","not married","female","white","buddhist","43","democrat","bachelor's degree or higher ","43","43","i earned more","no","no","no","yes","no","no","no","no","no","excellent","1","broke up","44","same-sex couple","1"
"1820763","bachelor's degree or higher","white","male","32.5","1","retired","democrat","christian","not married","male","white","christian","65","other","bachelor's degree or higher ","35","35","partner earned more","yes","no","no","no","no","no","no","no","no","good","41","broke up","76","same-sex couple","11"
"1853843","bachelor's degree or higher","black","female","13.7","1","retired","democrat","christian","married","male","black","baptist","86","democrat","bachelor's degree or higher ","37","37","partner earned more","yes","no","no","no","no","no","no","no","no","fair","47","broke up","84","different sex couple","2"
"1868455","less than high school","white","male","37.5","3","not working","democrat","christian","not married","female","white","christian","51","democrat","some college","25","25","partner earned more","no","yes","no","no","no","no","no","no","no","fair","20","broke up","45","different sex couple","6"
"1879215","some college","white","male","80.0","4 or more","working - as a paid employee","republican","baptist","not married","female","white","mormon","18","republican","less than high school","9","12","i earned more","no","no","yes","no","no","no","no","no","no","excellent","9","broke up","21","different sex couple","3"
"1882315","bachelor's degree or higher","black","male","45.0","1","working - as a paid employee","democrat","buddhist","not married","female","white","none","30","democrat","bachelor's degree or higher ","17","31","i earned more","no","yes","no","no","no","no","no","no","no","good","0","broke up","31","different sex couple","1"
"1897225","some college","white","male","92.5","3","working - as a paid employee","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","white","christian","19","republican","some college","20","21","i earned more","yes","no","no","no","no","no","no","no","no","excellent","2","broke up","22","different sex couple","3"
"1970216","high school","white","male","112.5","4 or more","working - as a paid employee","democrat","baptist","not married","female","white","christian","22","democrat","some college","12","16","i earned more","no","no","no","no","no","no","no","no","yes","fair","5","broke up","21","different sex couple","1"
"1975205","high school","white","female","2.5","4 or more","working - as a paid employee","republican","christian","not married","male","white","none","24","democrat","less than high school","16","16","same amount","no","no","no","no","no","no","no","yes","no","excellent","4","broke up","20","different sex couple","4"
"2018495","bachelor's degree or higher","black","male","55.0","2","working - as a paid employee","democrat","baptist","not married","female","black","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","43","democrat","bachelor's degree or higher ","49","49","partner earned more","yes","no","no","no","no","no","no","no","no","good","0","broke up","49","different sex couple","6"
"2025423","some college","black","male","67.5","2","working - as a paid employee","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","black","baptist","42","democrat","bachelor's degree or higher ","42","42","same amount","no","no","no","no","no","no","no","no","yes","excellent","0","broke up","42","different sex couple","0"
"2032535","high school","white","male","32.5","1","working - as a paid employee","republican","none","not married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","51","other","high school","44","45","i earned more","no","no","no","no","no","no","no","yes","no","good","8","broke up","53","different sex couple","2"
"2047493","bachelor's degree or higher","white","female","67.5","1","working - as a paid employee","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","white","jewish","50","democrat","bachelor's degree or higher ","48","49","same amount","no","no","no","yes","no","no","no","no","no","good","0","broke up","49","same-sex couple","1"
"2049245","some college","white","female","112.5","4 or more","working - as a paid employee","republican","christian","not married","male","white","baptist","22","republican","less than high school","22","22","same amount","no","no","no","no","no","no","no","yes","no","excellent","2","broke up","24","different sex couple","2"
"2053443","some college","white","female","55.0","2","working - as a paid employee","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","white","christian","44","other","some college","44","44","i earned more","yes","no","no","no","no","no","no","no","no","excellent","0","broke up","44","same-sex couple","0"
"2072195","less than high school","white","female","187.5","4 or more","not working","republican","baptist","not married","male","white","none","20","other","some college","16","19","partner earned more","no","no","no","no","yes","no","no","no","yes","excellent","1","broke up","19","different sex couple","1"
"2098515","some college","white","female","11.2","1","disabled","other","christian","not married","male","white","none","53","other","some college","30","30","partner earned more","no","no","no","no","no","no","no","no","yes","good","21","broke up","51","different sex couple","2"
"2109285","some college","white","female","67.5","4 or more","working - as a paid employee","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","male","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","50","other","high school","26","27","partner earned more","no","no","no","no","no","no","no","no","yes","good","1","broke up","28","different sex couple","22"
"2111623","some college","2+ races","female","27.5","4 or more","disabled","democrat","christian","married","male","white","christian","55","democrat","high school","45","45","i earned more","yes","no","no","no","no","no","no","no","no","fair","17","broke up","62","different sex couple","7"
"2124215","some college","white","female","67.5","3","not working","democrat","christian","not married","male","white","none","24","other","bachelor's degree or higher ","19","19","partner earned more","no","no","no","no","no","no","no","no","yes","fair","2","broke up","21","different sex couple","3"
"2125215","some college","white","female","137.5","3","working - as a paid employee","democrat","baptist","not married","male","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","28","democrat","bachelor's degree or higher ","20","20","partner earned more","yes","no","no","no","no","yes","no","no","no","fair","2","broke up","21","different sex couple","7"
"2137436","some college","white","male","92.5","2","working - as a paid employee","republican","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","white","christian","43","other","some college","35","35","i earned more","no","no","no","no","no","no","no","no","yes","fair","8","broke up","43","different sex couple","0"
"2145295","some college","white","female","67.5","2","working - as a paid employee","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","male","2+ races","christian","39","democrat","bachelor's degree or higher ","24","24","partner earned more","no","no","no","no","no","no","no","no","yes","good","5","broke up","29","different sex couple","10"
"2159315","bachelor's degree or higher","white","female","162.5","2","working - as a paid employee","democrat","none","married","female","white","christian","29","democrat","some college","25","27","i earned more","no","no","no","no","no","no","no","no","yes","good","4","broke up","31","same-sex couple","2"
"2175365","some college","white","female","8.7","2","not working","democrat","none","not married","female","black","none","47","democrat","bachelor's degree or higher ","26","26","partner earned more","no","no","no","no","no","yes","no","no","no","fair","10","broke up","36","same-sex couple","11"
"2212616","bachelor's degree or higher","white","male","11.2","1","working - self-employed","democrat","pentecostal","not married","male","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","26","other","high school","60","60","i earned more","no","no","no","no","no","no","no","yes","no","good","2","broke up","61","same-sex couple","35"
"2227296","bachelor's degree or higher","white","female","45.0","2","not working","democrat","none","not married","female","white","christian","32","other","bachelor's degree or higher ","28","28","partner earned more","no","no","no","no","no","no","no","no","yes","good","1","broke up","29","same-sex couple","3"
"2266405","bachelor's degree or higher","hispanic","male","80.0","4 or more","working - as a paid employee","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","male","white","none","39","republican","bachelor's degree or higher ","37","37","i earned more","no","no","no","no","no","no","yes","no","no","poor","4","broke up","40","same-sex couple","1"
"2286421","high school","white","male","67.5","4 or more","working - as a paid employee","republican","christian","married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","41","republican","some college","22","22","i earned more","no","no","no","no","no","no","no","yes","no","good","20","broke up","42","different sex couple","1"
"2307264","some college","white","female","17.5","4 or more","working - as a paid employee","democrat","jewish","not married","male","white","none","22","other","less than high school","21","21","refused","no","yes","no","no","no","no","no","no","no","excellent","5","broke up","26","different sex couple","4"
"2311205","some college","black","female","92.5","3","not working","democrat","christian","not married","male","black","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","23","democrat","some college","18","18","partner earned more","no","yes","no","no","no","no","no","no","no","good","2","broke up","20","different sex couple","3"
"2330376","some college","black","female","67.5","1","working - as a paid employee","democrat","baptist","not married","female","black","baptist","42","democrat","some college","33","33","partner earned more","no","no","no","no","no","no","no","no","yes","excellent","4","broke up","37","same-sex couple","5"
"2337554","some college","black","male","55.0","2","working - as a paid employee","democrat","baptist","married","female","black","baptist","55","democrat","high school","18","18","same amount","no","no","no","no","no","no","no","yes","no","poor","37","broke up","55","different sex couple","0"
"2371312","bachelor's degree or higher","black","female","37.5","4 or more","working - as a paid employee","democrat","baptist","not married","male","black","baptist","54","democrat","high school","29","29","partner earned more","yes","no","no","no","no","no","no","no","no","good","2","broke up","31","different sex couple","23"
