Id;AgeId;EducationId;RaceId;GenderId;IncomeId;Children;EmploymentId;American;Indian;Chinese;Filipino;Japanese;Korean;Vietnamese;Asian;Hawaiian;Guamanian;Samoan;PacificIslander;OtherRace;PoliticsId;ReligionId;Marriage;Lover;GenderPart;SameGender;RacePart;ReligionPart;AgePart;PoliticsPart;EducationPart;AmountMarriageId;AmountMarriageId2;AgeFirstMeet;AgeRomRel;AgeMar;EarnedMore;Work;School;Church;Internet;Vacation;Bar;Gym;PrivParty;OtherPlace;Quality;Duration;Together;AGeId;SameSex;age_difference;samesexnum;earnedmorenum;raceidnum;racepartnum;religionidnum;educationpartnum;educatidnum
40335;30-44;bachelor's degree or higher;white;male;$40,000 to $49,999;1;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;none;not married;have_sex;male;same_sex;black or african american;refused;27;democrat;hs graduate or ged;NA;never married;31;31;NA;i earned more;no;no;no;yes;no;no;no;no;no;good;2;broke up;33;same-sex couple;0;0;3;1;3;3;3;3
41505;45-59;less than high school;white;male;less than $5,000;1;not working;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;other non-christian, please specify:;not married;have_sex;male;same_sex;white;none;52;democrat;bachelor's degree;NA;never married;50;50;NA;partner earned more;no;no;no;no;no;no;no;no;yes;good;0;broke up;50;same-sex couple;9;0;1;1;1;6;3;0
43381;30-44;bachelor's degree or higher;white;male;$125,000 to $149,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;christian;married;NA;male;same_sex;white;christian;45;democrat;hs graduate or ged;1;NA;25;27;34;i earned more;no;no;no;no;yes;no;no;no;no;excellent;11;still together;38;same-sex couple;0;0;3;1;1;1;3;3
44486;45-59;some college;black;female;$100,000 to $124,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;other non-christian, please specify:;married;NA;female;same_sex;white;buddhist;47;democrat;some college, no degree;1;NA;44;44;45;partner earned more;no;no;no;yes;no;no;no;no;no;good;4;still together;48;same-sex couple;15;0;1;3;1;6;2;2
46746;60+;bachelor's degree or higher;white;male;$75,000 to $84,999;2;retired;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;none;married;NA;male;same_sex;white;christian;61;democrat;associate degree;1;NA;31;31;31;i earned more;no;no;no;no;no;no;no;no;yes;excellent;43;still together;74;same-sex couple;3;0;3;1;1;3;3;3
48225;18-29;some college;white;male;$60,000 to $74,999;4 or more;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;christian;not married;no_sex;female;NA;white;christian;22;republican;bachelor's degree;NA;never married;9;22;NA;i earned more;no;yes;no;no;no;no;no;no;no;excellent;0;still together;22;different sex couple;;1;3;1;1;1;3;2
49731;60+;less than high school;white;male;$20,000 to $24,999;2;retired;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;pentecostal;married;NA;female;NA;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);66;independent;some college, no degree;2;NA;20;27;27;i earned more;no;no;no;no;no;no;no;no;yes;excellent;46;still together;73;different sex couple;37;1;3;1;1;7;2;0
51376;30-44;bachelor's degree or higher;hispanic;male;$85,000 to $99,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;christian;not married;have_sex;male;same_sex;white;christian;33;democrat;some college, no degree;NA;never married;34;35;NA;i earned more;no;no;no;no;no;yes;no;no;no;good;2;still together;37;same-sex couple;;0;3;2;1;1;2;3
54415;30-44;less than high school;white;female;$25,000 to $29,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;jewish;not married;have_sex;male;NA;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);48;independent;master's degree;NA;never married;41;41;NA;partner earned more;no;no;no;yes;no;no;no;no;no;good;0;broke up;41;different sex couple;6;1;1;1;1;4;3;0
55365;30-44;some college;black;female;$50,000 to $59,999;4 or more;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;baptist;not married;have_sex;male;NA;black or african american;baptist - any denomination;37;democrat;hs graduate or ged;NA;never married;31;31;NA;partner earned more;yes;no;no;no;no;no;no;no;no;good;5;still together;36;different sex couple;2;1;1;3;3;5;3;2
56536;45-59;bachelor's degree or higher;hispanic;female;$60,000 to $74,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;yes;democrat;none;not married;have_sex;female;same_sex;white;other non-christian, please specify;57;democrat;master's degree;NA;never married;43;43;NA;i earned more;no;no;no;no;no;no;no;yes;no;good;10;still together;53;same-sex couple;;0;3;2;1;3;3;3
58295;18-29;bachelor's degree or higher;white;female;$40,000 to $49,999;1;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;protestant (e.g., methodist, lutheran, presbyterian, episcopal);not married;have_sex;male;NA;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);34;republican;master's degree;NA;never married;26;26;NA;i earned more;no;no;no;no;no;yes;no;no;no;excellent;4;still together;29;different sex couple;7;1;3;1;1;2;3;3
60743;60+;bachelor's degree or higher;white;male;$50,000 to $59,999;1;retired;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;protestant (e.g., methodist, lutheran, presbyterian, episcopal);not married;have_sex;female;NA;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);58;democrat;professional or doctorate degree;NA;once;73;74;NA;same amount;no;no;yes;no;no;no;no;no;no;good;0;broke up;74;different sex couple;1;1;2;1;1;2;3;3
62283;18-29;some college;white;female;$35,000 to $39,999;1;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;christian;not married;have_sex;male;NA;white;none;28;republican;some college, no degree;NA;once;26;27;NA;partner earned more;yes;no;no;no;no;no;no;no;no;good;1;broke up;28;different sex couple;;1;1;1;1;1;2;2
64331;30-44;high school;hispanic;male;$50,000 to $59,999;3;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;christian;married;NA;female;NA;white;christian;42;independent;10th grade;1;NA;26;26;31;partner earned more;no;no;no;yes;no;no;no;no;no;excellent;7;still together;33;different sex couple;13;1;1;2;1;1;1;1
65446;30-44;some college;white;female;$40,000 to $49,999;1;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;christian;not married;no_sex;female;same_sex;white;none;41;democrat;bachelor's degree;NA;never married;43;43;NA;partner earned more;no;no;no;no;no;no;no;no;yes;excellent;1;broke up;44;same-sex couple;0;0;1;1;1;1;3;2
66484;45-59;some college;white;male;$7,500 to $9,999;1;disabled;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;none;not married;have_sex;female;NA;white;none;38;independent;some college, no degree;NA;once;47;47;NA;partner earned more;no;no;no;no;no;no;yes;no;no;good;1;broke up;48;different sex couple;7;1;1;1;1;3;2;2
68546;45-59;bachelor's degree or higher;white;female;$100,000 to $124,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;christian;married;NA;female;same_sex;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);48;democrat;bachelor's degree;1;NA;34;34;38;i earned more;no;no;no;no;no;yes;no;no;no;good;20;still together;54;same-sex couple;;0;3;1;1;1;3;3
69311;30-44;some college;white;male;$60,000 to $74,999;4 or more;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;christian;married;NA;female;NA;white;christian;31;democrat;hs graduate or ged;1;NA;25;25;25;i earned more;no;no;no;no;no;no;no;no;yes;good;6;still together;31;different sex couple;4;1;3;1;1;1;3;2
72515;45-59;some college;white;male;$25,000 to $29,999;2;working - self-employed;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;christian;not married;have_sex;female;NA;white;christian;51;republican;some college, no degree;NA;never married;14;40;NA;partner earned more;no;yes;no;no;no;yes;no;yes;no;good;11;broke up;51;different sex couple;;1;1;1;1;1;2;2
73603;60+;high school;white;male;$20,000 to $24,999;1;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;baptist;married;NA;female;NA;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);60;no preference;master's degree;1;NA;21;31;31;partner earned more;no;no;no;no;no;yes;no;no;no;very poor;29;broke up;60;different sex couple;7;1;1;1;1;5;3;1
75621;60+;less than high school;white;male;$60,000 to $74,999;2;retired;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;protestant (e.g., methodist, lutheran, presbyterian, episcopal);married;NA;female;NA;white;baptist - any denomination;52;republican;some college, no degree;2;NA;33;33;34;i earned more;no;no;no;no;no;yes;no;no;no;good;29;still together;62;different sex couple;1;1;3;1;1;2;2;0
77256;18-29;bachelor's degree or higher;white;female;$75,000 to $84,999;4 or more;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;christian;married;NA;male;NA;white;christian;33;democrat;associate degree;1;NA;20;20;24;same amount;yes;no;no;no;no;no;no;no;no;excellent;5;still together;25;different sex couple;32;1;2;1;1;1;3;3
78351;30-44;some college;white;male;$75,000 to $84,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;none;married;NA;female;NA;white;christian;45;democrat;bachelor's degree;1;NA;18;19;22;i earned more;yes;no;no;no;no;no;no;no;no;good;16;still together;35;different sex couple;4;1;3;1;1;3;3;2
79731;60+;bachelor's degree or higher;white;male;$100,000 to $124,999;2;retired;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;protestant (e.g., methodist, lutheran, presbyterian, episcopal);married;NA;female;NA;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);59;democrat;master's degree;1;NA;46;47;48;partner earned more;yes;no;no;no;no;no;no;no;no;good;26;still together;73;different sex couple;;1;1;1;1;2;3;3
80656;60+;bachelor's degree or higher;white;male;$50,000 to $59,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;christian;not married;have_sex;male;same_sex;white;christian;64;democrat;bachelor's degree;NA;once;35;35;NA;same amount;yes;no;no;no;no;no;no;no;no;excellent;30;still together;65;same-sex couple;5;0;2;1;1;1;3;3
81286;18-29;bachelor's degree or higher;white;male;$60,000 to $74,999;1;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;baptist;not married;no_sex;female;NA;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);29;independent;bachelor's degree;NA;never married;25;25;NA;i earned more;no;no;no;yes;no;no;no;no;no;excellent;2;still together;28;different sex couple;;1;3;1;1;5;3;3
82431;30-44;less than high school;white;female;$12,500 to $14,999;4 or more;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;baptist;married;NA;male;NA;white;baptist - any denomination;53;no preference;some college, no degree;2;NA;17;17;30;i earned more;no;no;no;no;no;no;no;yes;no;good;26;still together;43;different sex couple;16;1;3;1;1;5;2;0
83431;30-44;bachelor's degree or higher;white;female;$60,000 to $74,999;3;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;protestant (e.g., methodist, lutheran, presbyterian, episcopal);married;NA;female;opposite_sex;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);44;republican;professional or doctorate degree;1;NA;20;20;22;partner earned more;no;no;no;no;no;no;no;yes;no;excellent;23;still together;43;different sex couple;0;1;1;1;1;2;3;3
85281;18-29;bachelor's degree or higher;white;female;$100,000 to $124,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;baptist;married;NA;male;NA;white;baptist - any denomination;33;republican;master's degree;1;NA;18;18;22;partner earned more;no;no;no;no;no;yes;no;no;no;excellent;10;still together;28;different sex couple;;1;1;1;1;5;3;3
86591;45-59;some college;white;female;$15,000 to $19,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;baptist;married;NA;male;NA;white;baptist - any denomination;52;democrat;associate degree;1;NA;40;40;42;i earned more;no;no;yes;no;no;no;no;no;no;excellent;19;still together;59;different sex couple;9;1;3;1;1;5;3;2
89766;60+;bachelor's degree or higher;white;male;$60,000 to $74,999;2;retired;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;none;not married;have_sex;male;same_sex;white;christian;58;democrat;some college, no degree;NA;never married;41;41;NA;same amount;no;no;no;no;no;yes;no;no;no;excellent;35;still together;76;same-sex couple;3;0;2;1;1;3;2;3
94431;30-44;bachelor's degree or higher;hispanic;male;$75,000 to $84,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;jewish;married;NA;female;NA;white;christian;56;democrat;associate degree;1;NA;28;29;35;i earned more;yes;no;no;no;no;no;no;no;no;good;14;still together;43;different sex couple;;1;3;2;1;4;3;3
95431;30-44;high school;white;male;$60,000 to $74,999;4 or more;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;christian;married;NA;female;NA;white;christian;43;independent;bachelor's degree;1;NA;18;18;22;i earned more;no;no;no;no;no;yes;no;no;no;fair;25;still together;43;different sex couple;10;1;3;1;1;1;3;1
97195;18-29;some college;white;male;$60,000 to $74,999;4 or more;not working;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;protestant (e.g., methodist, lutheran, presbyterian, episcopal);not married;have_sex;female;NA;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);19;independent;some college, no degree;NA;never married;19;19;NA;i earned more;no;no;no;no;no;no;no;no;yes;excellent;0;still together;19;different sex couple;;1;3;1;1;2;2;2
99611;60+;bachelor's degree or higher;other;male;$100,000 to $124,999;2;retired;yes;no;no;no;no;no;no;no;no;no;no;no;no;democrat;protestant (e.g., methodist, lutheran, presbyterian, episcopal);married;NA;female;NA;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);59;no preference;professional or doctorate degree;1;NA;18;21;24;partner earned more;yes;no;no;no;no;no;no;no;no;excellent;40;still together;61;different sex couple;6;1;1;5;1;2;3;3
100331;30-44;bachelor's degree or higher;white;male;$75,000 to $84,999;1;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;protestant (e.g., methodist, lutheran, presbyterian, episcopal);married;NA;female;NA;white;christian;33;independent;bachelor's degree;1;NA;21;22;30;i earned more;no;yes;no;no;no;no;no;no;no;good;11;still together;33;different sex couple;0;1;3;1;1;2;3;3
103545;45-59;bachelor's degree or higher;white;female;$150,000 to $174,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;christian;not married;have_sex;male;opposite_sex;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);52;republican;some college, no degree;NA;never married;50;50;NA;i earned more;no;no;no;yes;no;no;no;no;no;excellent;4;still together;54;different sex couple;;1;3;1;1;1;2;3
104565;45-59;bachelor's degree or higher;white;male;$15,000 to $19,999;1;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;protestant (e.g., methodist, lutheran, presbyterian, episcopal);not married;have_sex;male;same_sex;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);50;independent;bachelor's degree;NA;never married;53;53;NA;partner earned more;no;no;no;yes;no;no;no;no;no;excellent;4;still together;56;same-sex couple;;0;1;1;1;2;3;3
106296;18-29;bachelor's degree or higher;other;female;$35,000 to $39,999;1;not working;no;no;no;no;no;no;no;yes;no;no;no;no;no;republican;protestant (e.g., methodist, lutheran, presbyterian, episcopal);not married;no_sex;other, please specify;NA;refused;protestant (e.g. methodist, lutheran, presbyterian, episcopal);99;no preference;some college, no degree;NA;never married;20;20;NA;same amount;no;no;no;no;no;no;no;no;yes;good;9;still together;29;different sex couple;0;1;2;5;0;2;2;3
108501;45-59;bachelor's degree or higher;white;male;$75,000 to $84,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;jewish;married;NA;female;NA;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);52;democrat;professional or doctorate degree;1;NA;23;23;26;i earned more;no;yes;no;no;no;no;no;no;no;excellent;27;still together;50;different sex couple;0;1;3;1;1;4;3;3
110316;30-44;bachelor's degree or higher;white;male;$60,000 to $74,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;protestant (e.g., methodist, lutheran, presbyterian, episcopal);not married;have_sex;male;same_sex;american indian, aleut, or eskimo;christian;26;independent;master's degree;NA;once;24;27;NA;i earned more;no;yes;no;no;no;no;yes;no;no;good;4;still together;31;same-sex couple;;0;3;1;2;2;3;3
112646;60+;some college;white;male;$100,000 to $124,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;none;married;NA;male;same_sex;white;christian;64;democrat;bachelor's degree;1;NA;34;34;64;partner earned more;no;no;no;no;no;no;no;yes;no;excellent;30;still together;64;same-sex couple;10;0;1;1;1;3;3;2
113235;18-29;some college;white;female;$100,000 to $124,999;4 or more;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;protestant (e.g., methodist, lutheran, presbyterian, episcopal);not married;have_sex;male;NA;white;christian;26;independent;bachelor's degree;NA;never married;18;18;NA;partner earned more;no;no;no;no;no;no;no;no;yes;good;5;still together;23;different sex couple;;1;1;1;1;2;3;2
114276;18-29;bachelor's degree or higher;white;female;$60,000 to $74,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;christian;married;NA;male;NA;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);29;republican;master's degree;1;NA;21;22;26;partner earned more;yes;yes;no;no;no;no;no;no;no;excellent;5;still together;27;different sex couple;;1;1;1;1;1;3;3
115473;45-59;some college;white;male;$85,000 to $99,999;1;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;other non-christian, please specify:;not married;have_sex;male;same_sex;white;baptist - any denomination;38;democrat;some college, no degree;NA;once;36;36;NA;i earned more;no;no;no;no;no;no;no;no;yes;good;11;broke up;47;same-sex couple;8;0;3;1;1;6;2;2
116271;18-29;some college;white;male;$50,000 to $59,999;4 or more;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;christian;married;NA;female;NA;white;christian;30;no preference;hs graduate or ged;1;NA;20;20;24;i earned more;no;no;no;no;no;no;no;no;yes;excellent;7;still together;27;different sex couple;10;1;3;1;1;1;3;2
117401;30-44;bachelor's degree or higher;white;male;$75,000 to $84,999;1;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;other;christian;married;NA;female;NA;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);NA;republican;bachelor's degree;1;NA;24;26;27;partner earned more;no;no;no;no;no;no;no;no;yes;good;14;still together;40;different sex couple;;1;1;1;1;1;3;3
119371;30-44;high school;white;female;$12,500 to $14,999;4 or more;not working;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;none;married;NA;male;NA;white;other non-christian, please specify;27;independent;hs graduate or ged;2;NA;29;29;30;i earned more;no;no;no;no;no;no;no;no;yes;excellent;8;still together;37;different sex couple;14;1;3;1;1;3;3;1
119663;60+;some college;white;male;$50,000 to $59,999;1;retired;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;christian;not married;have_sex;female;NA;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);55;democrat;bachelor's degree;NA;once;46;46;NA;partner earned more;no;no;no;no;no;yes;no;no;no;good;20;still together;66;different sex couple;1;1;1;1;1;1;3;2
120456;45-59;high school;hispanic;female;$125,000 to $149,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;yes;democrat;other non-christian, please specify:;married;NA;male;NA;white;none;58;no preference;master's degree;2;NA;24;24;44;partner earned more;no;no;no;no;yes;no;no;no;no;excellent;21;still together;45;different sex couple;1;1;1;2;1;6;3;1
121515;45-59;bachelor's degree or higher;white;female;$50,000 to $59,999;1;not working;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;protestant (e.g., methodist, lutheran, presbyterian, episcopal);not married;have_sex;male;NA;white;jewish;53;democrat;professional or doctorate degree;NA;never married;33;44;NA;partner earned more;yes;no;no;no;no;no;no;no;no;good;7;still together;51;different sex couple;10;1;1;1;1;2;3;3
122441;30-44;less than high school;white;female;$35,000 to $39,999;3;not working;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;baptist;married;NA;male;NA;white;baptist - any denomination;47;democrat;hs graduate or ged;2;NA;18;20;20;partner earned more;no;no;yes;no;no;no;no;no;no;excellent;24;still together;44;different sex couple;1;1;1;1;1;5;3;0
125346;30-44;bachelor's degree or higher;white;male;$30,000 to $34,999;1;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;none;not married;have_sex;female;NA;white;none;34;no preference;12th grade no diploma;NA;never married;28;28;NA;same amount;no;no;no;no;no;no;no;no;yes;fair;6;broke up;34;different sex couple;;1;2;1;1;3;2;3
126231;18-29;some college;other;female;$175,000 or more;4 or more;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;yes;democrat;christian;married;NA;male;NA;white;christian;34;democrat;bachelor's degree;1;NA;16;17;18;partner earned more;no;yes;no;no;no;no;no;no;no;excellent;6;still together;23;different sex couple;5;1;1;5;1;1;3;2
128441;30-44;high school;black;male;$150,000 to $174,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;christian;married;NA;female;NA;black or african american;pentecostal;45;republican;bachelor's degree;2;NA;41;41;42;partner earned more;no;no;no;yes;no;no;no;no;no;excellent;2;still together;44;different sex couple;7;1;1;3;3;1;3;1
130266;18-29;bachelor's degree or higher;white;male;$150,000 to $174,999;1;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;christian;married;NA;female;NA;white;christian;32;no preference;bachelor's degree;1;NA;25;25;26;partner earned more;no;no;no;no;no;yes;no;no;no;excellent;2;still together;26;different sex couple;;1;1;1;1;1;3;3
133521;45-59;bachelor's degree or higher;white;female;$60,000 to $74,999;4 or more;retired;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;christian;married;NA;male;NA;white;christian;54;democrat;hs graduate or ged;1;NA;16;16;19;partner earned more;no;no;no;no;no;yes;no;no;no;excellent;36;still together;52;different sex couple;18;1;1;1;1;1;3;3
134275;18-29;some college;white;female;$50,000 to $59,999;4 or more;disabled;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;christian;not married;have_sex;male;NA;white;none;24;democrat;some college, no degree;NA;never married;25;25;NA;i earned more;no;no;no;yes;no;no;yes;no;yes;excellent;2;still together;27;different sex couple;;1;3;1;1;1;2;2
134461;45-59;some college;white;male;$75,000 to $84,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;republican;christian;not married;have_sex;female;NA;white;christian;50;no preference;associate degree;NA;twice;46;46;NA;i earned more;no;no;no;yes;no;no;no;no;no;excellent;1;still together;46;different sex couple;;1;3;1;1;1;3;2
135736;60+;some college;white;female;$50,000 to $59,999;2;retired;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;other non-christian, please specify:;not married;have_sex;female;same_sex;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);80;democrat;professional or doctorate degree;NA;never married;55;55;NA;partner earned more;no;no;no;no;no;no;no;no;yes;excellent;18;still together;73;same-sex couple;13;0;1;1;1;6;3;2
